id_evento,usuario,area,hora,volumen_mb,carpetas_distintas,fuera_de_horario,pais,pais_inusual,clasificacion_forense
EV1057,vent05,ventas_campo,14.46,59.9,10,0,CR,0,normal
EV1794,ti_i04,ti_infraestructura,1.16,206.2,24,1,CR,0,normal
EV0173,cont12,contabilidad,8.66,25.7,2,0,CR,0,normal
EV1788,ti_i03,ti_infraestructura,2.92,329.5,30,1,CR,0,normal
EV0836,sopo11,soporte_de_equipos,15.02,99.0,15,0,CR,0,normal
EV0442,cont11,contabilidad,9.77,36.1,4,0,CR,0,normal
EV1555,lega03,legal,11.63,17.0,3,0,CR,0,normal
EV1376,lega04,legal,10.51,7.4,3,0,CR,0,normal
EV0790,sopo09,soporte_de_equipos,13.48,82.8,16,0,CR,0,normal
EV0186,cont03,contabilidad,11.5,21.1,1,0,CR,0,normal
EV0439,cont04,contabilidad,9.51,41.3,4,0,CR,0,normal
EV0373,cont10,contabilidad,9.03,52.4,4,0,CR,0,normal
EV0141,cont01,contabilidad,10.67,45.6,3,0,CR,0,normal
EV1278,vent06,ventas_campo,14.27,71.9,7,0,NI,0,normal
EV1397,lega02,legal,9.46,7.7,4,0,CR,0,normal
EV1470,lega05,legal,11.67,36.4,3,0,CR,0,normal
EV0587,sopo01,soporte_de_equipos,10.17,154.7,9,0,CR,0,normal
EV0849,sopo06,soporte_de_equipos,12.98,137.1,11,0,CR,0,normal
EV0300,cont14,contabilidad,7.39,39.3,6,0,CR,0,normal
EV0796,sopo08,soporte_de_equipos,14.89,106.5,10,0,CR,0,normal
EV1413,lega02,legal,9.96,29.8,3,0,CR,0,normal
EV0354,cont09,contabilidad,8.95,32.0,6,0,CR,0,normal
EV1071,vent01,ventas_campo,15.03,69.9,6,0,CR,0,normal
EV1465,lega02,legal,11.81,11.4,3,0,CR,0,normal
EV1687,ti_i02,ti_infraestructura,5.5,238.3,30,1,CR,0,normal
EV1845,ti_i01,ti_infraestructura,3.38,251.1,28,1,CR,0,normal
EV0958,vent01,ventas_campo,17.17,72.1,3,0,NI,0,normal
EV1535,lega06,legal,10.69,28.4,4,0,CR,0,normal
EV1683,ti_i06,ti_infraestructura,3.98,400.2,26,1,CR,0,normal
EV0716,sopo07,soporte_de_equipos,14.08,148.6,13,0,CR,0,normal
EV1433,lega03,legal,12.35,27.8,2,0,CR,0,normal
EV0424,cont13,contabilidad,11.63,32.0,4,0,CR,0,normal
EV0312,cont02,contabilidad,7.85,33.0,1,0,CR,0,normal
EV1324,vent06,ventas_campo,10.98,81.5,5,0,CR,0,normal
EV1382,lega06,legal,10.03,20.8,3,0,CR,0,normal
EV1681,ti_i05,ti_infraestructura,4.52,299.4,20,1,CR,0,normal
EV0038,cont06,contabilidad,11.61,28.5,5,0,CR,0,normal
EV0528,sopo11,soporte_de_equipos,13.11,181.5,17,0,CR,0,normal
EV0692,sopo09,soporte_de_equipos,23.9,130.8,10,1,CR,0,normal
EV1241,vent12,ventas_campo,19.18,77.4,7,1,CR,0,normal
EV0708,sopo06,soporte_de_equipos,16.64,55.2,8,0,CR,0,normal
EV0059,cont12,contabilidad,8.87,58.7,4,0,CR,0,normal
EV1497,lega04,legal,9.82,18.4,3,0,CR,0,normal
EV1211,vent08,ventas_campo,9.91,74.0,7,0,CR,0,normal
EV0128,cont02,contabilidad,9.17,37.3,5,0,CR,0,normal
EV0448,cont09,contabilidad,8.95,34.5,2,0,CR,0,normal
EV0398,cont08,contabilidad,10.77,33.8,7,0,CR,0,normal
EV0230,cont02,contabilidad,12.69,38.2,3,0,CR,0,normal
EV1837,ti_i04,ti_infraestructura,5.4,282.7,30,1,CR,0,normal
EV0035,cont11,contabilidad,7.94,47.0,2,0,CR,0,normal
EV0971,vent02,ventas_campo,9.25,91.4,5,0,CR,0,normal
EV1486,lega05,legal,9.91,27.4,2,0,CR,0,normal
EV1151,vent05,ventas_campo,14.64,49.1,5,0,CR,0,normal
EV1806,ti_i05,ti_infraestructura,4.57,303.0,22,1,CR,0,normal
EV0749,sopo08,soporte_de_equipos,12.06,122.6,13,0,CR,0,normal
EV1921,ti_i04,ti_infraestructura,0.0,282.0,23,1,CR,0,normal
EV0591,sopo08,soporte_de_equipos,9.6,128.8,13,0,CR,0,normal
EV0858,sopo08,soporte_de_equipos,21.14,116.1,8,1,CR,0,normal
EV0411,cont09,contabilidad,11.01,47.2,4,0,CR,0,normal
EV1107,vent07,ventas_campo,14.45,51.0,4,0,NI,0,normal
EV1785,ti_i06,ti_infraestructura,2.85,401.4,25,1,CR,0,normal
EV1400,lega04,legal,11.7,15.2,4,0,CR,0,normal
EV0929,sopo08,soporte_de_equipos,19.02,118.5,8,1,CR,0,normal
EV0008,cont12,contabilidad,8.85,51.9,4,0,CR,0,normal
EV0722,sopo07,soporte_de_equipos,21.67,147.0,14,1,CR,0,normal
EV1442,lega07,legal,10.43,22.4,3,0,CR,0,normal
EV1936,ti_i02,ti_infraestructura,3.18,439.7,30,1,CR,0,normal
EV0972,vent07,ventas_campo,12.31,84.0,4,0,CR,0,normal
EV1445,lega07,legal,11.43,11.7,4,0,CR,0,normal
EV0573,sopo04,soporte_de_equipos,9.19,120.0,14,0,CR,0,normal
EV1952,ti_i05,ti_infraestructura,3.84,357.9,28,1,CR,0,normal
EV1815,ti_i02,ti_infraestructura,0.16,284.9,25,1,CR,0,normal
EV1421,lega07,legal,12.15,17.6,1,0,CR,0,normal
EV1577,lega07,legal,14.53,16.2,5,0,CR,0,normal
EV0021,cont10,contabilidad,11.48,46.0,4,0,CR,0,normal
EV0453,cont06,contabilidad,9.68,30.4,4,0,CR,0,normal
EV0376,cont08,contabilidad,10.23,21.3,3,0,CR,0,normal
EV1045,vent02,ventas_campo,13.21,73.0,5,0,PA,0,normal
EV1853,ti_i04,ti_infraestructura,5.75,327.8,33,1,CR,0,normal
EV0893,sopo06,soporte_de_equipos,9.51,97.1,11,0,CR,0,normal
EV1878,ti_i03,ti_infraestructura,1.8,244.1,32,1,CR,0,normal
EV0471,cont13,contabilidad,8.39,47.9,2,0,CR,0,normal
EV0926,sopo10,soporte_de_equipos,19.53,115.5,19,1,CR,0,normal
EV0984,vent11,ventas_campo,7.76,42.5,7,0,CR,0,normal
EV1854,ti_i01,ti_infraestructura,0.11,396.3,21,1,CR,0,normal
EV0361,cont05,contabilidad,10.69,34.7,4,0,CR,0,normal
EV0798,sopo01,soporte_de_equipos,11.47,117.1,7,0,CR,0,normal
EV1391,lega02,legal,12.65,31.7,3,0,CR,0,normal
EV0480,cont04,contabilidad,11.49,41.1,6,0,CR,0,normal
EV1572,lega02,legal,11.98,16.0,3,0,CR,0,normal
EV0739,sopo04,soporte_de_equipos,14.51,186.0,5,0,CR,0,normal
EV1999,lega05,legal,23.1,165.0,26,1,NG,1,incidente_confirmado
EV1595,lega05,legal,8.58,26.6,4,0,CR,0,normal
EV1196,vent12,ventas_campo,16.48,74.1,8,0,GT,0,normal
EV0263,cont06,contabilidad,8.03,31.6,4,0,CR,0,normal
EV0242,cont07,contabilidad,9.63,37.5,5,0,CR,0,normal
EV1364,lega03,legal,10.48,20.2,4,0,CR,0,normal
EV1351,lega04,legal,10.53,26.6,3,0,CR,0,normal
EV1065,vent07,ventas_campo,19.23,86.1,7,1,CR,0,normal
EV0654,sopo09,soporte_de_equipos,6.74,79.0,10,1,CR,0,normal
EV1742,ti_i03,ti_infraestructura,0.11,279.8,15,1,CR,0,normal
EV0052,cont04,contabilidad,10.31,46.1,5,0,CR,0,normal
EV0037,cont12,contabilidad,11.17,35.2,3,0,CR,0,normal
EV0621,sopo08,soporte_de_equipos,12.09,99.3,9,0,CR,0,normal
EV1272,vent05,ventas_campo,10.82,48.8,6,0,GT,0,normal
EV1758,ti_i02,ti_infraestructura,4.59,366.3,29,1,CR,0,normal
EV0863,sopo02,soporte_de_equipos,15.62,125.0,9,0,CR,0,normal
EV0639,sopo11,soporte_de_equipos,19.75,151.6,13,1,CR,0,normal
EV1637,lega06,legal,12.39,12.4,3,0,CR,0,normal
EV1117,vent01,ventas_campo,10.8,85.0,4,0,CR,0,normal
EV0736,sopo10,soporte_de_equipos,11.39,165.2,11,0,CR,0,normal
EV0207,cont03,contabilidad,7.72,33.3,4,0,CR,0,normal
EV1309,vent02,ventas_campo,14.71,98.1,1,0,CR,0,normal
EV1888,ti_i01,ti_infraestructura,1.94,423.2,21,1,CR,0,normal
EV0946,sopo05,soporte_de_equipos,9.57,110.6,17,0,CR,0,normal
EV1232,vent03,ventas_campo,18.71,50.5,2,0,NI,0,normal
EV0748,sopo10,soporte_de_equipos,23.35,93.5,16,1,CR,0,normal
EV0922,sopo07,soporte_de_equipos,15.24,97.1,18,0,CR,0,normal
EV1706,ti_i02,ti_infraestructura,4.63,350.2,21,1,CR,0,normal
EV0147,cont13,contabilidad,8.46,31.8,6,0,CR,0,normal
EV0279,cont01,contabilidad,11.22,32.0,6,0,CR,0,normal
EV0431,cont06,contabilidad,9.89,26.0,4,0,CR,0,normal
EV0624,sopo01,soporte_de_equipos,21.72,157.9,16,1,CR,0,normal
EV0378,cont14,contabilidad,8.33,42.1,5,0,CR,0,normal
EV1843,ti_i06,ti_infraestructura,3.91,221.2,29,1,CR,0,normal
EV0745,sopo06,soporte_de_equipos,23.42,80.3,14,1,CR,0,normal
EV0375,cont06,contabilidad,7.99,25.7,6,0,CR,0,normal
EV0368,cont01,contabilidad,8.32,20.5,4,0,CR,0,normal
EV0817,sopo05,soporte_de_equipos,12.25,74.7,9,0,CR,0,normal
EV1906,ti_i01,ti_infraestructura,1.03,305.0,19,1,CR,0,normal
EV0260,cont11,contabilidad,10.63,35.8,2,0,CR,0,normal
EV1623,lega01,legal,8.26,14.9,2,0,CR,0,normal
EV1527,lega07,legal,11.67,14.6,5,0,CR,0,normal
EV1437,lega07,legal,10.45,23.2,3,0,CR,0,normal
EV0876,sopo04,soporte_de_equipos,14.91,159.9,14,0,CR,0,normal
EV1140,vent09,ventas_campo,16.7,122.2,7,0,NI,0,normal
EV1833,ti_i06,ti_infraestructura,1.18,379.4,36,1,CR,0,normal
EV0652,sopo10,soporte_de_equipos,21.04,106.8,10,1,CR,0,normal
EV1840,ti_i02,ti_infraestructura,2.37,335.1,20,1,CR,0,normal
EV0218,cont05,contabilidad,12.71,35.1,3,0,CR,0,normal
EV1945,ti_i04,ti_infraestructura,4.94,284.7,35,1,CR,0,normal
EV0142,cont13,contabilidad,12.93,24.0,4,0,CR,0,normal
EV0340,cont02,contabilidad,8.72,40.5,4,0,CR,0,normal
EV1110,vent05,ventas_campo,13.57,34.4,4,0,CR,0,normal
EV1966,svc_respaldo,ti_infraestructura,3.31,936.5,67,1,CR,0,respaldo_programado
EV0314,cont07,contabilidad,9.32,31.8,5,0,CR,0,normal
EV1119,vent03,ventas_campo,12.56,98.2,8,0,PA,0,normal
EV0529,sopo04,soporte_de_equipos,9.04,101.1,8,0,CR,0,normal
EV0345,cont14,contabilidad,8.49,27.0,4,0,CR,0,normal
EV0998,vent07,ventas_campo,16.25,65.2,2,0,NI,0,normal
EV0873,sopo01,soporte_de_equipos,15.12,171.4,8,0,CR,0,normal
EV1828,ti_i05,ti_infraestructura,3.13,331.7,21,1,CR,0,normal
EV1914,ti_i03,ti_infraestructura,4.68,347.2,26,1,CR,0,normal
EV1588,lega01,legal,10.32,20.7,4,0,CR,0,normal
EV1129,vent07,ventas_campo,15.14,52.3,8,0,CR,0,normal
EV0667,sopo03,soporte_de_equipos,6.18,132.6,13,1,CR,0,normal
EV1277,vent04,ventas_campo,17.49,77.4,7,0,NI,0,normal
EV1011,vent01,ventas_campo,10.94,82.7,8,0,GT,0,normal
EV0451,cont05,contabilidad,10.75,39.4,5,0,CR,0,normal
EV0180,cont09,contabilidad,10.91,39.3,4,0,CR,0,normal
EV1485,lega03,legal,10.25,27.5,3,0,CR,0,normal
EV0455,cont10,contabilidad,9.23,25.6,3,0,CR,0,normal
EV1079,vent03,ventas_campo,17.56,42.7,10,0,GT,0,normal
EV0636,sopo04,soporte_de_equipos,14.92,143.6,11,0,CR,0,normal
EV0329,cont09,contabilidad,9.46,48.4,3,0,CR,0,normal
EV0735,sopo02,soporte_de_equipos,9.42,88.2,17,0,CR,0,normal
EV0579,sopo06,soporte_de_equipos,10.75,127.1,17,0,CR,0,normal
EV1123,vent08,ventas_campo,12.32,43.8,8,0,CR,0,normal
EV1707,ti_i02,ti_infraestructura,2.94,402.5,7,1,CR,0,normal
EV1654,lega06,legal,12.02,35.3,3,0,CR,0,normal
EV1576,lega08,legal,10.68,38.6,2,0,CR,0,normal
EV0072,cont04,contabilidad,10.62,40.6,1,0,CR,0,normal
EV0563,sopo04,soporte_de_equipos,10.98,119.3,11,0,CR,0,normal
EV0766,sopo04,soporte_de_equipos,13.9,159.4,16,0,CR,0,normal
EV0393,cont13,contabilidad,8.05,39.0,4,0,CR,0,normal
EV0475,cont02,contabilidad,12.2,55.5,7,0,CR,0,normal
EV0427,cont01,contabilidad,11.62,34.6,2,0,CR,0,normal
EV1875,ti_i05,ti_infraestructura,5.41,278.5,20,1,CR,0,normal
EV1462,lega01,legal,10.42,17.1,3,0,CR,0,normal
EV0201,cont03,contabilidad,8.66,30.8,6,0,CR,0,normal
EV0566,sopo09,soporte_de_equipos,12.74,77.2,15,0,CR,0,normal
EV1252,vent05,ventas_campo,15.09,50.9,8,0,PA,0,normal
EV1114,vent08,ventas_campo,20.35,63.2,7,1,CR,0,normal
EV0309,cont14,contabilidad,10.47,26.1,4,0,CR,0,normal
EV1262,vent09,ventas_campo,13.49,92.2,8,0,NI,0,normal
EV1381,lega05,legal,9.02,1.7,3,0,CR,0,normal
EV1691,ti_i06,ti_infraestructura,4.08,451.4,19,1,CR,0,normal
EV0801,sopo05,soporte_de_equipos,21.23,118.4,20,1,CR,0,normal
EV0604,sopo06,soporte_de_equipos,16.32,134.9,9,0,CR,0,normal
EV0770,sopo10,soporte_de_equipos,19.21,74.4,13,1,CR,0,normal
EV1629,lega03,legal,12.61,33.1,1,0,CR,0,normal
EV0117,cont05,contabilidad,8.92,14.8,2,0,CR,0,normal
EV1227,vent02,ventas_campo,11.76,48.6,5,0,GT,0,normal
EV0299,cont07,contabilidad,9.92,35.3,5,0,CR,0,normal
EV1661,ti_i06,ti_infraestructura,1.05,398.1,22,1,CR,0,normal
EV0502,cont02,contabilidad,8.65,21.7,2,0,CR,0,normal
EV1991,svc_respaldo,ti_infraestructura,2.03,862.6,76,1,CR,0,respaldo_programado
EV1160,vent05,ventas_campo,15.61,43.9,6,0,CR,0,normal
EV0005,cont06,contabilidad,10.98,27.8,3,0,CR,0,normal
EV1187,vent07,ventas_campo,10.96,74.7,8,0,CR,0,normal
EV0508,cont13,contabilidad,6.98,30.6,3,1,CR,0,normal
EV0047,cont01,contabilidad,9.17,46.7,6,0,CR,0,normal
EV1998,vent07,ventas_campo,2.3,195.0,31,1,RU,1,incidente_confirmado
EV1270,vent06,ventas_campo,13.67,55.4,7,0,GT,0,normal
EV1826,ti_i06,ti_infraestructura,2.01,223.8,35,1,CR,0,normal
EV0432,cont01,contabilidad,10.08,49.7,3,0,CR,0,normal
EV1023,vent08,ventas_campo,9.11,94.0,4,0,NI,0,normal
EV0331,cont14,contabilidad,13.08,21.2,7,0,CR,0,normal
EV1600,lega05,legal,12.08,25.5,4,0,CR,0,normal
EV1402,lega08,legal,10.72,22.9,3,0,CR,0,normal
EV0594,sopo01,soporte_de_equipos,7.47,108.7,11,0,CR,0,normal
EV0562,sopo09,soporte_de_equipos,21.23,71.3,7,1,CR,0,normal
EV1589,lega08,legal,9.55,28.1,3,0,CR,0,normal
EV0195,cont10,contabilidad,9.8,42.1,3,0,CR,0,normal
EV1958,ti_i05,ti_infraestructura,3.59,319.5,23,1,CR,0,normal
EV1216,vent01,ventas_campo,17.27,59.5,3,0,GT,0,normal
EV1492,lega07,legal,10.73,12.7,2,0,CR,0,normal
EV0352,cont09,contabilidad,7.98,33.0,6,0,CR,0,normal
EV1012,vent08,ventas_campo,10.71,44.6,8,0,PA,0,normal
EV0464,cont03,contabilidad,11.03,47.6,1,0,CR,0,normal
EV1782,ti_i06,ti_infraestructura,3.55,342.9,24,1,CR,0,normal
EV0466,cont06,contabilidad,9.08,45.4,1,0,CR,0,normal
EV1043,vent01,ventas_campo,17.47,36.7,5,0,NI,0,normal
EV0342,cont09,contabilidad,11.23,52.1,2,0,CR,0,normal
EV1797,ti_i02,ti_infraestructura,2.84,189.5,27,1,CR,0,normal
EV0397,cont05,contabilidad,11.93,50.0,5,0,CR,0,normal
EV0110,cont08,contabilidad,9.82,18.3,8,0,CR,0,normal
EV1341,lega01,legal,12.91,3.5,1,0,CR,0,normal
EV1578,lega03,legal,12.64,25.2,3,0,CR,0,normal
EV1730,ti_i02,ti_infraestructura,1.98,284.3,24,1,CR,0,normal
EV1337,lega06,legal,11.85,21.6,4,0,CR,0,normal
EV0541,sopo07,soporte_de_equipos,15.52,74.8,13,0,CR,0,normal
EV0472,cont05,contabilidad,11.23,26.4,4,0,CR,0,normal
EV1242,vent05,ventas_campo,12.36,67.0,7,0,CR,0,normal
EV0096,cont04,contabilidad,8.95,37.2,5,0,CR,0,normal
EV1639,lega03,legal,10.94,30.8,2,0,CR,0,normal
EV1510,lega03,legal,12.17,35.6,1,0,CR,0,normal
EV0020,cont11,contabilidad,10.9,26.7,4,0,CR,0,normal
EV0664,sopo04,soporte_de_equipos,13.18,121.7,17,0,CR,0,normal
EV1831,ti_i03,ti_infraestructura,0.0,359.4,22,1,CR,0,normal
EV1929,ti_i06,ti_infraestructura,1.28,284.8,20,1,CR,0,normal
EV1125,vent02,ventas_campo,11.74,70.2,7,0,CR,0,normal
EV1258,vent02,ventas_campo,12.33,88.6,4,0,CR,0,normal
EV0341,cont11,contabilidad,9.33,45.1,5,0,CR,0,normal
EV1602,lega07,legal,11.05,30.9,2,0,CR,0,normal
EV0948,sopo11,soporte_de_equipos,20.14,116.2,13,1,CR,0,normal
EV1590,lega07,legal,13.18,16.0,4,0,CR,0,normal
EV0223,cont10,contabilidad,8.43,41.0,4,0,CR,0,normal
EV1078,vent01,ventas_campo,19.3,50.8,7,1,PA,0,normal
EV0670,sopo09,soporte_de_equipos,14.65,120.3,12,0,CR,0,normal
EV1039,vent02,ventas_campo,16.41,61.7,2,0,CR,0,normal
EV0685,sopo06,soporte_de_equipos,23.9,84.5,13,1,CR,0,normal
EV0112,cont03,contabilidad,11.41,44.5,2,0,CR,0,normal
EV1530,lega01,legal,12.05,9.9,3,0,CR,0,normal
EV0413,cont12,contabilidad,11.34,49.6,7,0,CR,0,normal
EV0359,cont01,contabilidad,10.02,31.4,5,0,CR,0,normal
EV0288,cont09,contabilidad,8.92,25.7,2,0,CR,0,normal
EV1305,vent04,ventas_campo,14.02,101.2,4,0,CR,0,normal
EV0888,sopo09,soporte_de_equipos,14.25,121.0,11,0,CR,0,normal
EV0489,cont09,contabilidad,8.38,32.4,6,0,CR,0,normal
EV0420,cont06,contabilidad,12.36,43.2,3,0,CR,0,normal
EV0416,cont10,contabilidad,10.72,42.1,6,0,CR,0,normal
EV1383,lega01,legal,11.96,15.9,5,0,CR,0,normal
EV1846,ti_i03,ti_infraestructura,2.87,313.0,19,1,CR,0,normal
EV0747,sopo10,soporte_de_equipos,12.46,156.4,10,0,CR,0,normal
EV1821,ti_i02,ti_infraestructura,4.54,286.7,28,1,CR,0,normal
EV0018,cont08,contabilidad,12.68,34.2,2,0,CR,0,normal
EV1500,lega08,legal,10.68,21.2,2,0,CR,0,normal
EV1931,ti_i06,ti_infraestructura,3.68,288.8,22,1,CR,0,normal
EV1895,ti_i05,ti_infraestructura,6.58,272.9,27,1,CR,0,normal
EV0899,sopo05,soporte_de_equipos,4.08,156.8,11,1,CR,0,normal
EV0515,cont09,contabilidad,8.16,31.4,4,0,CR,0,normal
EV0526,sopo08,soporte_de_equipos,10.35,168.5,15,0,CR,0,normal
EV1610,lega02,legal,10.7,17.7,2,0,CR,0,normal
EV0055,cont05,contabilidad,10.32,18.8,4,0,CR,0,normal
EV0264,cont12,contabilidad,13.4,22.7,3,0,CR,0,normal
EV0102,cont02,contabilidad,9.45,33.9,1,0,CR,0,normal
EV0276,cont04,contabilidad,10.53,33.7,3,0,CR,0,normal
EV0859,sopo03,soporte_de_equipos,16.09,95.7,9,0,CR,0,normal
EV0952,vent12,ventas_campo,13.81,46.3,8,0,CR,0,normal
EV0250,cont11,contabilidad,10.12,28.1,6,0,CR,0,normal
EV0968,vent11,ventas_campo,15.95,68.0,5,0,CR,0,normal
EV1418,lega04,legal,10.28,14.8,4,0,CR,0,normal
EV0387,cont03,contabilidad,8.86,21.8,5,0,CR,0,normal
EV0557,sopo10,soporte_de_equipos,5.26,107.7,10,1,CR,0,normal
EV1396,lega02,legal,12.07,13.2,3,0,CR,0,normal
EV1050,vent08,ventas_campo,23.9,60.6,5,1,PA,0,normal
EV1753,ti_i05,ti_infraestructura,2.41,315.2,27,1,CR,0,normal
EV1344,lega05,legal,10.84,27.2,3,0,CR,0,normal
EV0061,cont03,contabilidad,10.16,41.7,2,0,CR,0,normal
EV0364,cont02,contabilidad,11.03,36.5,3,0,CR,0,normal
EV1184,vent02,ventas_campo,15.18,43.3,8,0,CR,0,normal
EV1660,lega05,legal,11.79,22.1,2,0,CR,0,normal
EV0211,cont01,contabilidad,12.1,20.3,5,0,CR,0,normal
EV0282,cont11,contabilidad,10.33,31.6,5,0,CR,0,normal
EV1415,lega01,legal,9.52,18.2,4,0,CR,0,normal
EV0638,sopo09,soporte_de_equipos,11.06,114.1,13,0,CR,0,normal
EV0518,cont06,contabilidad,12.83,45.1,3,0,CR,0,normal
EV1294,vent02,ventas_campo,13.82,18.7,7,0,GT,0,normal
EV1228,vent06,ventas_campo,15.0,57.9,11,0,CR,0,normal
EV1009,vent12,ventas_campo,14.75,75.4,4,0,CR,0,normal
EV1325,vent12,ventas_campo,18.22,49.8,6,0,CR,0,normal
EV1670,ti_i03,ti_infraestructura,1.78,402.5,21,1,CR,0,normal
EV0325,cont12,contabilidad,10.79,26.7,4,0,CR,0,normal
EV0505,cont14,contabilidad,9.25,24.7,5,0,CR,0,normal
EV1688,ti_i01,ti_infraestructura,4.46,325.7,26,1,CR,0,normal
EV0029,cont12,contabilidad,10.23,56.5,3,0,CR,0,normal
EV1624,lega01,legal,10.32,28.9,3,0,CR,0,normal
EV0588,sopo01,soporte_de_equipos,2.23,124.2,12,1,CR,0,normal
EV1193,vent01,ventas_campo,9.97,93.6,6,0,CR,0,normal
EV0729,sopo03,soporte_de_equipos,11.12,156.5,13,0,CR,0,normal
EV1778,ti_i01,ti_infraestructura,0.0,262.6,32,1,CR,0,normal
EV0225,cont05,contabilidad,8.45,38.6,7,0,CR,0,normal
EV1855,ti_i04,ti_infraestructura,4.05,364.3,18,1,CR,0,normal
EV1174,vent02,ventas_campo,15.44,94.0,6,0,NI,0,normal
EV0821,sopo07,soporte_de_equipos,13.81,143.8,11,0,CR,0,normal
EV0857,sopo04,soporte_de_equipos,10.21,94.7,14,0,CR,0,normal
EV1733,ti_i06,ti_infraestructura,4.15,383.0,25,1,CR,0,normal
EV1472,lega02,legal,13.73,13.8,5,0,CR,0,normal
EV1748,ti_i01,ti_infraestructura,1.01,399.2,25,1,CR,0,normal
EV1842,ti_i02,ti_infraestructura,2.61,327.1,29,1,CR,0,normal
EV1800,ti_i04,ti_infraestructura,3.8,287.3,21,1,CR,0,normal
EV1994,svc_respaldo,ti_infraestructura,1.73,780.4,69,1,CR,0,respaldo_programado
